user_id,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
5.45048E+22,8005,33,1602238608,109.42687,24.34834,18744286,24320,0,0
5.45048E+22,51,19,1602217573,109.38484,24.30853,18742364,31145,0,0
5.45048E+22,8001,13,1602200092,109.50548,24.36442,18739824,29720,0,0
5.45048E+22,241,13,1602239033,109.40452,24.31749,18744860,30456,0,0
5.45048E+22,241,20,,109.40452,24.31749,18744860,30456,1,1
5.45048E+22,241,13,1602239158,109.40452,24.31749,18744860,30456,0,0
5.45048E+22,11,12,1602199166,109.40661,24.36101,18740071,31099,0,0
5.45048E+22,11,21,,109.40808,24.32268,18740071,31099,1,0
5.45048E+22,11,21,1602236963,109.40808,24.32268,18744408,31108,0,0
5.45048E+22,41,32,1602235583,109.44705,24.26923,18744965,26439,0,0
5.45048E+22,411,15,1602218154,109.38442,24.29057,18742708,28210,0,0
5.45048E+22,411,26,,109.36021,24.26013,18742708,28210,1,1
5.45048E+22,411,26,1602220652,109.36021,24.26013,18742927,28221,0,0
5.45048E+22,411,33,,109.3768,24.28038,18742927,28221,1,1
5.45048E+22,281,27,1602223525,109.3768,24.28038,18743050,28271,0,0
5.45048E+22,291,12,1602201188,109.39838,24.35082,18740218,30613,0,0
5.45048E+22,111,3,1602250078,109.3645,24.32828,18746217,28775,0,0
5.45048E+22,111,9,,109.40087,24.33939,18746217,28775,1,1
5.45048E+22,381,23,1602251142,109.40087,24.33939,18746149,24750,0,0
5.45048E+22,521,10,1602203848,109.43015,24.3378,18740977,14070,0,0
5.45048E+22,521,14,,109.44002,24.3262,18740977,14070,1,1
5.45048E+22,521,14,1602208839,109.44002,24.3262,18741540,14074,0,0
5.45048E+22,521,17,,109.43061,24.33797,18741540,14074,1,1
5.45048E+22,491,9,1602213160,109.43061,24.33797,18741787,21942,0,0
5.45048E+22,491,21,,109.43139,24.33496,18741787,21942,1,0
5.45048E+22,591,18,1602229965,109.43139,24.33496,18743577,12262,0,0
5.45048E+22,271,23,1602249324,109.39925,24.32939,18746169,24895,0,0
5.45048E+22,621,14,1602200349,109.41616,24.30575,18740285,25871,0,0
5.45048E+22,101,1,1602206054,109.30149,24.25916,18741589,27560,0,0
5.45048E+22,251,6,1602198667,109.39009,24.27656,18740565,27440,0,0
5.45048E+22,8002,5,1602200273,109.42702,24.35212,18739837,17237,0,0
5.45048E+22,8002,2,1602207158,109.43316,24.36175,18741620,17234,0,0
5.45048E+22,691,23,1602201635,109.42121,24.32932,18740345,28917,0,0
5.45048E+22,8002,11,1602222110,109.42704,24.32767,18743216,17243,0,0
5.45048E+22,8002,4,1602215872,109.42693,24.36025,18742643,17236,0,0
5.45048E+22,8002,9,,109.42724,24.33753,18742643,17236,1,0
5.45048E+22,8002,27,1602226025,109.42724,24.33753,18743216,17261,0,0
5.45048E+22,8002,31,,109.42695,24.35827,18743216,17261,1,0
5.45048E+22,8005,31,1602233763,109.42695,24.35827,18744279,24318,0,0
5.45048E+22,21,6,1602234581,109.40505,24.30525,18743959,30431,0,0
5.45048E+22,751,21,1602199568,109.42319,24.33431,18740404,27719,0,0
5.45048E+22,801,11,1602232198,109.50702,24.36488,18744127,29445,0,0
5.45048E+22,801,19,,109.43993,24.32622,18744127,29445,1,1
5.45048E+22,751,28,1602233514,109.43993,24.32622,18744371,27726,0,0
